source,object_id,title,date,medium,dimensions,artist,museum,accession_number,object_url,iiif_image_url,iiif_manifest_url,license,license_url,extra
met,437457,The Baptism of Christ,ca. 1713–14,Oil on canvas,26 x 40 in. (66 x 101.6 cm),Sebastiano Ricci,The Metropolitan Museum of Art,1981.186,https://www.metmuseum.org/art/collection/search/437457,https://images.metmuseum.org/CRDImages/ep/original/DT9354.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-1981_186-2.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-1981_186-3.jpg'], 'artistDisplayBio': 'Italian, Belluno 1659–1734 Venice'}"
met,438816,The Forest in Winter at Sunset,ca. 1846–67,Oil on canvas,64 x 102 3/8 in. (162.6 x 260 cm),Théodore Rousseau,The Metropolitan Museum of Art,11.4,https://www.metmuseum.org/art/collection/search/438816,https://images.metmuseum.org/CRDImages/ep/original/DP-31520-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-11_4-fig11.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/DP247630.jpg'], 'artistDisplayBio': 'French, Paris 1812–1867 Barbizon'}"
met,435844,The Musicians,1597,Oil on canvas,36 1/4 x 46 5/8 in. (92.1 x 118.4 cm),Caravaggio (Michelangelo Merisi),The Metropolitan Museum of Art,52.81,https://www.metmuseum.org/art/collection/search/435844,https://images.metmuseum.org/CRDImages/ep/original/DP-687-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/Caravaggio_Xraynocap.jpg'], 'artistDisplayBio': 'Italian, Milan or Caravaggio 1571–1610 Porto Ercole'}"
met,436271,The Crucifixion with Donors and Saints Peter and Margaret of Antioch,ca. 1525–30,Oil on wood,24 1/4 x 35 1/4 in. (61.5 x 89.5 cm),Cornelis Engebrechtsz,The Metropolitan Museum of Art,88.3.88,https://www.metmuseum.org/art/collection/search/436271,https://images.metmuseum.org/CRDImages/ep/original/DT10856.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-88_3_88-IRR.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-88_3_88-IRR-detail.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-88_3_88-6.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-88_3_88-2-reverse.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-88_3_88-XRAY.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-88_3_88-7.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-88_3_88-8.jpg'], 'artistDisplayBio': 'Netherlandish, ca. 1460/62–1527'}"
met,435848,The Birth of the Virgin,1467,Tempera and oil on wood,57 x 37 7/8 in. (144.8 x 96.2 cm),Fra Carnevale (Bartolomeo di Giovanni Corradini),The Metropolitan Museum of Art,35.121,https://www.metmuseum.org/art/collection/search/435848,https://images.metmuseum.org/CRDImages/ep/original/DP109484.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/SF Fra Carnavale.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/SF Fra Carnavale detail.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-35_121-2.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-35_121-3.jpg'], 'artistDisplayBio': 'Italian, born by 1416–died 1484 Urbino'}"
met,436896,Portrait of a Woman with a Man at a Casement,ca. 1440,Tempera on wood,25 1/4 x 16 1/2 in. (64.1 x 41.9 cm),Fra Filippo Lippi,The Metropolitan Museum of Art,89.15.19,https://www.metmuseum.org/art/collection/search/436896,https://images.metmuseum.org/CRDImages/ep/original/DP159891.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-89_15_19-IRR.jpg'], 'artistDisplayBio': 'Italian, Florence ca. 1406–1469 Spoleto'}"
met,437059,Young Woman with a Pink,ca. 1485–90,Oil on wood,Overall 17 x 7 3/8 in. (43.2 x 18.7 cm); painted surface 17 x 6 7/8 in. (43.2 x 17.5 cm),Hans Memling,The Metropolitan Museum of Art,49.7.23,https://www.metmuseum.org/art/collection/search/437059,https://images.metmuseum.org/CRDImages/ep/original/DP-19588-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-49_7_23-1.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-49_7_23-IRR.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-49_7_23-XRAY.jpg'], 'artistDisplayBio': 'Netherlandish, Seligenstadt, active by 1465–died 1494 Bruges'}"
met,437980,Cypresses,1889,Oil on canvas,36 3/4 x 29 1/8 in. (93.4 x 74 cm),Vincent van Gogh,The Metropolitan Museum of Art,49.30,https://www.metmuseum.org/art/collection/search/437980,https://images.metmuseum.org/CRDImages/ep/original/DP130999.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'Dutch, Zundert 1853–1890 Auvers-sur-Oise'}"
met,436180,The Natchez,1823–24 and 1835,Oil on canvas,35 1/2 x 46 in. (90.2 x 116.8 cm),Eugène Delacroix,The Metropolitan Museum of Art,1989.328,https://www.metmuseum.org/art/collection/search/436180,https://images.metmuseum.org/CRDImages/ep/original/DP-14345-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'French, Charenton-Saint-Maurice 1798–1863 Paris'}"
met,436529,"L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911)",1888–89,Oil on canvas,36 × 29 in. (91.4 × 73.7 cm),Vincent van Gogh,The Metropolitan Museum of Art,51.112.3,https://www.metmuseum.org/art/collection/search/436529,https://images.metmuseum.org/CRDImages/ep/original/DT1396.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'Dutch, Zundert 1853–1890 Auvers-sur-Oise'}"
met,437173,Don Andrés de Andrade y la Cal,ca. 1665–72,Oil on canvas,79 × 47 in. (200.7 × 119.4 cm),Bartolomé Estebán Murillo,The Metropolitan Museum of Art,27.219,https://www.metmuseum.org/art/collection/search/437173,https://images.metmuseum.org/CRDImages/ep/original/DP-16333-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-27_219-2.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-27_219-3.jpg'], 'artistDisplayBio': 'Spanish, Seville 1617–1682 Seville'}"
met,436838,The Fortune-Teller,probably 1630s,Oil on canvas,40 1/8 x 48 5/8 in. (101.9 x 123.5 cm),Georges de La Tour,The Metropolitan Museum of Art,60.30,https://www.metmuseum.org/art/collection/search/436838,https://images.metmuseum.org/CRDImages/ep/original/DP-14286-015.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'French, Vic-sur-Seille 1593–1652 Lunéville'}"
met,438821,Ia Orana Maria (Hail Mary),1891,Oil on canvas,44 3/4 x 34 1/2 in. (113.7 x 87.6 cm),Paul Gauguin,The Metropolitan Museum of Art,51.112.2,https://www.metmuseum.org/art/collection/search/438821,https://images.metmuseum.org/CRDImages/ep/original/DT1025.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands'}"
cma,135299,Adeline Ravoux,1890,oil on fabric,Framed: 72.5 x 73.5 x 8.5 cm (28 9/16 x 28 15/16 x 3 3/8 in.); Unframed: 50.2 x 50.5 cm (19 3/4 x 19 7/8 in.),"Vincent van Gogh (Dutch, 1853–1890)",Cleveland Museum of Art,1958.31,https://clevelandart.org/art/1958.31,https://openaccess-cdn.clevelandart.org/1958.31/1958.31_full.tif,,CC0,https://www.clevelandart.org/open-access,{'department': 'Modern European Painting and Sculpture'}
cma,125249,The Large Plane Trees (Road Menders at Saint-Rémy),1889,oil on fabric,Framed: 104.5 x 124.5 x 7.6 cm (41 1/8 x 49 x 3 in.); Unframed: 73.4 x 91.8 cm (28 7/8 x 36 1/8 in.),"Vincent van Gogh (Dutch, 1853–1890)",Cleveland Museum of Art,1947.209,https://clevelandart.org/art/1947.209,https://openaccess-cdn.clevelandart.org/1947.209/1947.209_full.tif,,CC0,https://www.clevelandart.org/open-access,{'department': 'Modern European Painting and Sculpture'}
cma,135310,Two Poplars in the Alpilles near Saint-Rémy,1889,oil on fabric,Framed: 81 x 66.7 x 7.3 cm (31 7/8 x 26 1/4 x 2 7/8 in.); Unframed: 61.6 x 45.7 cm (24 1/4 x 18 in.),"Vincent van Gogh (Dutch, 1853–1890)",Cleveland Museum of Art,1958.32,https://clevelandart.org/art/1958.32,https://openaccess-cdn.clevelandart.org/1958.32/1958.32_full.tif,,CC0,https://www.clevelandart.org/open-access,{'department': 'Modern European Painting and Sculpture'}
cma,135286,Landscape with Wheelbarrow,1883,watercolor and opaque watercolor with black chalk on cream paper,Sheet: 24.9 x 35.7 cm (9 13/16 x 14 1/16 in.); Framed: 39.8 x 52.4 x 2.6 cm (15 11/16 x 20 5/8 x 1 in.),"Vincent van Gogh (Dutch, 1853–1890)",Cleveland Museum of Art,1958.30,https://clevelandart.org/art/1958.30,https://openaccess-cdn.clevelandart.org/1958.30/1958.30_full.tif,,CC0,https://www.clevelandart.org/open-access,{'department': 'Drawings'}
cma,126085,Dr. Gachet,1890,"Etching and drypoint, enhanced with black ink on laid paper",18.1 x 15.2 cm (7 1/8 x 6 in.),"Vincent van Gogh (Dutch, 1853–1890)",Cleveland Museum of Art,1948.303,https://clevelandart.org/art/1948.303,https://openaccess-cdn.clevelandart.org/1948.303/1948.303_full.tif,,CC0,https://www.clevelandart.org/open-access,{'department': 'Prints'}
